,hpo,label
383,HP:0034221,o
384,HP:0002538,o
385,HP:0020087,o
386,HP:0020085,o
387,HP:0032101,o
388,HP:0100094,o
389,HP:0010335,o
390,HP:0010160,o
391,HP:0001780,o
392,HP:0001760,o
393,HP:0010631,o
394,HP:0006500,o
395,HP:0010321,o
396,HP:0033015,o
397,HP:0033013,o
398,HP:0033012,o
399,HP:0410257,o
400,HP:0011897,o
401,HP:0033601,o
402,HP:0033603,o
403,HP:0030949,o
404,HP:0000095,o
405,HP:0100587,m
406,HP:0001741,m
407,HP:0012421,m
408,HP:0012435,m
409,HP:0100588,m
410,HP:0008113,o
411,HP:0100872,o
412,HP:0011356,o
413,HP:0004822,o
414,HP:0004445,o
415,HP:0004447,o
416,HP:0001877,o
417,HP:0011564,o
418,HP:0001633,o
419,HP:0006705,o
420,HP:0001654,o
421,HP:0410264,o
422,HP:0001028,o
423,HP:0100742,o
424,HP:0012552,o
425,HP:0011992,o
426,HP:0030038,o
427,HP:0010622,o
428,HP:0009781,o
429,HP:0001100,o
430,HP:0200064,o
431,HP:0008034,o
432,HP:0000525,o
433,HP:0000553,o
434,HP:0030567,o
435,HP:0030534,o
436,HP:0030532,o
437,HP:0007663,o
438,HP:0034558,f
439,HP:0008277,o
440,HP:0011030,o
441,HP:0010929,o
442,HP:0003111,o
443,HP:4000152,o
444,HP:0012831,o
445,HP:0012830,o
446,HP:0034711,o
447,HP:0000759,o
448,HP:0009831,o
449,HP:0009830,o
450,HP:0004970,o
451,HP:0012727,o
452,HP:0004942,o
453,HP:0001679,o
454,HP:0030962,o
455,HP:0002617,o
456,HP:0410187,o
457,HP:0410185,o
458,HP:0410176,o
459,HP:0010876,o
460,HP:0011229,o
461,HP:0000534,o
462,HP:0012385,o
463,HP:0030044,o
464,HP:0001371,o
465,HP:0034392,o
466,HP:0003549,o
467,HP:0011805,o
468,HP:0003011,o
469,HP:0100261,o
470,HP:0006932,o
471,HP:0000725,o
472,HP:0000709,o
473,HP:0000708,o
474,HP:0011446,o
475,HP:0006699,o
476,HP:0005115,o
477,HP:0011675,o
478,HP:0030956,o
479,HP:0010413,o
480,HP:0010185,o
481,HP:0010173,o
482,HP:0006494,o
483,HP:0006493,o
484,HP:0040069,o
485,HP:0010161,o
486,HP:0010182,o
487,HP:0010760,o
488,HP:0001991,o
489,HP:0010325,o
490,HP:0010319,o
491,HP:0010347,o
492,HP:0010324,o
493,HP:0010356,o
494,HP:0034715,o
495,HP:0012379,o
496,HP:0034684,o
497,HP:0009401,o
498,HP:0010236,o
499,HP:0009108,o
500,HP:0003366,o
501,HP:0002823,o
502,HP:0005613,o
503,HP:0009103,o
504,HP:0031742,o
505,HP:0025601,o
506,HP:0025600,o
507,HP:0031748,o
508,HP:0031755,o
509,HP:0025590,o
510,HP:0006681,o
511,HP:0001678,o
512,HP:0005150,o
513,HP:0031546,o
514,HP:0012722,o
515,HP:0009918,o
516,HP:0000615,o
517,HP:0001685,o
518,HP:0001637,o
519,HP:5200020,o
520,HP:0012433,o
521,HP:0032289,o
522,HP:0003237,o
523,HP:0010702,o
524,HP:0010701,o
525,HP:0005368,o
526,HP:0005372,o
527,HP:0410242,o
528,HP:0034545,o
529,HP:0009396,o
530,HP:0010231,o
531,HP:0010580,o
532,HP:0002239,o
533,HP:0011029,o
534,HP:0001892,o
535,HP:0012719,o
536,HP:0025032,o
537,HP:0033751,o
538,HP:0033749,o
539,HP:0030878,o
540,HP:0002795,o
541,HP:0002086,o
542,HP:0034399,o
543,HP:0012079,o
544,HP:0009782,o
545,HP:0001468,o
546,HP:0001457,o
547,HP:0001446,o
548,HP:0009127,o
549,HP:0001454,o
550,HP:0001467,o
551,HP:0009128,o
552,HP:0001460,o
553,HP:0030236,o
554,HP:0003059,o
555,HP:0033869,o
556,HP:0033868,o
557,HP:0033864,o
558,HP:0033859,o
559,HP:0033835,o
560,HP:0000307,o
561,HP:0000306,o
562,HP:0008629,o
563,HP:0000360,o
564,HP:0000364,o
565,HP:0031704,o
566,HP:0000168,o
567,HP:0034740,o
568,HP:0500209,o
569,HP:0500205,o
570,HP:0500184,o
571,HP:0500183,o
572,HP:0025454,o
573,HP:0002921,o
574,HP:0003130,o
575,HP:0012447,o
576,HP:0011633,o
577,HP:0011628,o
578,HP:0001697,o
579,HP:0006179,o
580,HP:0009193,o
581,HP:0004288,o
582,HP:0010584,o
583,HP:0005913,o
584,HP:0005916,o
585,HP:0010220,o
586,HP:0010010,o
587,HP:0003452,o
588,HP:0040130,o
589,HP:0011031,o
590,HP:0008798,o
591,HP:0010456,o
592,HP:0031227,o
593,HP:0009792,o
594,HP:0002898,o
595,HP:0011792,o
596,HP:0100728,o
597,HP:0010785,o
598,HP:0010787,o
599,HP:0007379,o
600,HP:0010951,o
601,HP:0002118,o
602,HP:0040235,o
603,HP:0008264,o
604,HP:0033108,o
605,HP:0030223,o
606,HP:0012181,o
607,HP:0030132,o
608,HP:0030131,o
609,HP:0012146,o
610,HP:0003256,o
611,HP:0001928,o
612,HP:0032832,o
613,HP:0032815,o
614,HP:0032813,o
615,HP:0032809,o
616,HP:0032808,o
617,HP:0032807,o
618,HP:0030425,f
619,HP:5200044,o
620,HP:0008948,o
621,HP:0007126,o
622,HP:0003202,o
623,HP:0010574,o
624,HP:0003368,o
625,HP:0006499,o
626,HP:0006846,o
627,HP:0001298,o
628,HP:0010783,o
629,HP:0011276,o
630,HP:0006673,o
631,HP:0034524,o
632,HP:0034523,o
633,HP:0031863,o
634,HP:0010940,o
635,HP:0010939,o
636,HP:0010937,o
637,HP:0005105,o
638,HP:0010397,o
639,HP:0010205,o
640,HP:0010175,o
641,HP:0010184,o
642,HP:0010349,o
643,HP:0010358,o
644,HP:0410284,o
645,HP:0410172,o
646,HP:0031838,o
647,HP:0010945,o
648,HP:0010944,o
649,HP:0011425,o
650,HP:0034058,o
651,HP:0034057,o
652,HP:0034242,o
653,HP:0004790,o
654,HP:0002244,o
655,HP:0002242,o
656,HP:0005245,o
657,HP:0006717,o
658,HP:0100007,o
659,HP:0004375,o
660,HP:0031185,o
661,HP:0031138,o
662,HP:0410344,o
663,HP:0012359,o
664,HP:0012358,o
665,HP:0012346,o
666,HP:0012345,o
667,HP:0032245,o
668,HP:0100581,o
669,HP:0011130,o
670,HP:0020072,o
671,HP:0032248,o
672,HP:0020071,o
673,HP:0032169,o
674,HP:0009455,o
675,HP:0009358,o
676,HP:0009316,o
677,HP:0009445,o
678,HP:0009700,o
679,HP:0004278,o
680,HP:0100238,o
681,HP:0009810,o
682,HP:0100240,o
683,HP:0100262,o
684,HP:0009773,o
685,HP:0009857,o
686,HP:0009834,o
687,HP:0030139,o
688,HP:4000106,o
689,HP:0010566,o
690,HP:0033241,o
691,HP:4000060,o
692,HP:0033137,o
693,HP:0002088,o
694,HP:0012252,o
695,HP:4000059,o
696,HP:0025700,o
697,HP:0001560,o
698,HP:0020038,o
699,HP:0030321,o
700,HP:0500048,o
701,HP:0008751,o
702,HP:0025423,o
703,HP:0001600,o
704,HP:0002087,o
705,HP:0003208,o
706,HP:0003204,o
707,HP:0034125,o
708,HP:0034124,o
709,HP:0031810,o
710,HP:0030085,o
711,HP:0033166,o
712,HP:0002788,o
713,HP:0001739,o
714,HP:0033151,o
715,HP:0000600,o
716,HP:0002205,o
717,HP:0002719,o
718,HP:0011947,o
719,HP:0004429,o
720,HP:0009129,o
721,HP:0010604,o
722,HP:0010732,o
723,HP:0200036,o
724,HP:0011355,o
725,HP:0200040,o
726,HP:0025245,o
727,HP:0010367,o
728,HP:0010181,o
729,HP:0010330,o
730,HP:0010320,o
731,HP:0410287,o
732,HP:0012307,o
733,HP:0000885,o
734,HP:0000772,o
735,HP:0001547,o
736,HP:0000765,o
737,HP:0030672,o
738,HP:0033360,o
739,HP:0033051,o
740,HP:0009785,o
741,HP:0009784,o
742,HP:0100854,o
743,HP:0033907,o
744,HP:0033892,o
745,HP:0033889,o
746,HP:0008808,o
747,HP:0011867,o
748,HP:0002867,o
749,HP:0030182,o
750,HP:0010549,o
751,HP:0002493,o
752,HP:0032855,o
753,HP:0020216,o
754,HP:0020207,o
755,HP:0032795,o
756,HP:0032677,o
757,HP:0020219,o
758,HP:0008125,o
759,HP:0001832,o
760,HP:0004372,o
761,HP:0025221,f
762,HP:0100213,o
763,HP:0100077,o
764,HP:0010162,o
765,HP:0010577,o
766,HP:0010341,o
767,HP:0010322,o
768,HP:0100098,o
769,HP:0031091,o
770,HP:0003002,o
771,HP:0008131,o
772,HP:0008369,o
773,HP:0001850,o
774,HP:0010675,o
775,HP:0003336,o
776,HP:0011849,o
777,HP:0003330,o
778,HP:0031051,o
779,HP:0009132,o
780,HP:0004348,o
781,HP:0100925,o
782,HP:0011001,o
783,HP:0200012,o
784,HP:0200011,o
785,HP:0001273,o
786,HP:0002500,o
787,HP:0020208,o
788,HP:0034190,o
789,HP:0034059,o
790,HP:0001789,o
791,HP:0000969,o
792,HP:0011032,o
793,HP:0012337,o
794,HP:0010680,o
795,HP:0010679,o
796,HP:0003155,o
797,HP:0004379,o
798,HP:0012211,o
799,HP:0011277,o
800,HP:0031442,o
801,HP:0001702,o
802,HP:0032838,o
803,HP:0032833,o
804,HP:0000630,o
805,HP:0008046,o
806,HP:0008047,o
807,HP:3000036,o
808,HP:0002174,o
809,HP:0002345,o
810,HP:0001337,o
811,HP:0100175,o
812,HP:0100072,o
813,HP:0010168,o
814,HP:0010583,o
815,HP:0030262,m
816,HP:0012792,o
817,HP:0004599,o
818,HP:0100569,o
819,HP:0003468,o
820,HP:0000925,o
821,HP:0003724,o
822,HP:0003797,o
823,HP:0009688,o
824,HP:0010230,o
825,HP:0034281,o
826,HP:0010579,o
827,HP:0011325,o
828,HP:0011324,o
829,HP:0001363,o
830,HP:0002683,o
831,HP:0011329,o
832,HP:0000235,o
833,HP:0006355,o
834,HP:0006289,o
835,HP:0006485,o
836,HP:0001592,o
837,HP:0009804,o
838,HP:0006483,o
839,HP:0011064,o
840,HP:0000676,o
841,HP:0200161,o
842,HP:0012588,o
843,HP:0000100,o
844,HP:0006959,o
845,HP:0007269,o
846,HP:0100402,o
847,HP:0010379,o
848,HP:0010336,o
849,HP:0010381,o
850,HP:0010183,o
851,HP:0009846,o
852,HP:0009770,o
853,HP:0032743,o
854,HP:0010820,o
855,HP:0025613,o
856,HP:0032734,o
857,HP:0032682,o
858,HP:0002349,o
859,HP:0033847,o
860,HP:0000223,o
861,HP:0030810,o
862,HP:0000157,o
863,HP:0410365,o
864,HP:0012362,o
865,HP:0012576,o
866,HP:0000574,o
867,HP:0003260,o
868,HP:0010907,o
869,HP:0010902,o
870,HP:0007970,o
871,HP:0000508,o
872,HP:0033932,o
873,HP:0033931,o
874,HP:0033886,o
875,HP:0033837,o
876,HP:0033836,o
877,HP:0032731,o
878,HP:0011174,o
879,HP:0011153,o
880,HP:0020217,o
881,HP:0012845,o
882,HP:0012844,o
883,HP:0012843,o
884,HP:0012842,o
885,HP:0008069,o
886,HP:0034401,o
887,HP:0011761,o
888,HP:0002893,o
889,HP:0011750,o
890,HP:0011747,o
891,HP:0012503,o
892,HP:0000864,o
893,HP:0040277,o
894,HP:0100568,o
895,HP:0005976,o
896,HP:0001942,o
897,HP:0001941,o
898,HP:0004360,o
899,HP:0010059,o
900,HP:0010057,o
901,HP:0001844,o
902,HP:0010174,o
903,HP:0030310,o
904,HP:0001373,o
905,HP:0009406,o
906,HP:0009772,o
907,HP:0004286,o
908,HP:0004281,o
909,HP:0004054,o
910,HP:0005686,o
911,HP:0010658,o
912,HP:0100899,o
913,HP:0100920,o
914,HP:0410256,o
915,HP:0410255,o
916,HP:0001875,o
917,HP:0041211,o
918,HP:0034344,f
919,HP:4000039,o
920,HP:0025168,o
921,HP:0005162,o
922,HP:0030872,o
923,HP:0009838,o
924,HP:0010040,o
925,HP:0010039,o
926,HP:0005914,o
927,HP:0010011,o
928,HP:0010048,o
929,HP:0007859,o
930,HP:0000666,o
931,HP:0000639,o
932,HP:0012547,o
933,HP:0006934,o
934,HP:0004817,o
935,HP:0001878,o
936,HP:0011895,o
937,HP:0001903,o
938,HP:0005979,o
939,HP:0001993,o
940,HP:0001946,o
941,HP:0007502,o
942,HP:0000962,o
943,HP:0011368,o
944,HP:0001072,o
945,HP:0011039,o
946,HP:0009452,o
947,HP:0009442,o
948,HP:0004095,o
949,HP:0009854,o
950,HP:0032791,o
951,HP:0032701,o
952,HP:0003383,o
953,HP:0034361,o
954,HP:0004298,o
955,HP:0100312,o
956,HP:0100620,o
957,HP:0100835,o
958,HP:0100006,o
959,HP:0100836,o
960,HP:0005598,o
961,HP:0007380,o
962,HP:0100585,o
963,HP:0001009,o
964,HP:0100011,o
965,HP:0000591,o
966,HP:0100008,o
967,HP:0100012,o
968,HP:0012233,o
969,HP:0003159,o
970,HP:0001992,o
971,HP:0012072,o
972,HP:0032943,o
973,HP:0003110,o
974,HP:0011467,o
975,HP:0011466,o
976,HP:0012437,o
977,HP:0005264,o
978,HP:0004297,o
979,HP:0001015,o
980,HP:0002624,o
981,HP:0007394,o
982,HP:0031979,o
983,HP:0033354,o
984,HP:0034671,o
985,HP:0034669,o
986,HP:0002815,o
987,HP:0500019,o
988,HP:0001089,o
989,HP:0002916,o
990,HP:0009655,o
991,HP:0100922,o
992,HP:0031346,o
993,HP:0002629,o
994,HP:0004296,o
995,HP:0100026,o
996,HP:0031171,o
997,HP:0025525,o
998,HP:0040189,o
999,HP:0011124,o
1000,HP:0012463,o
1001,HP:0040135,o
1002,HP:0011725,o
1003,HP:0001692,o
1004,HP:0000188,o
1005,HP:0000177,o
1006,HP:0000159,o
1007,HP:0034410,o
1008,HP:0001014,o
1009,HP:0005326,o
1010,HP:0000288,o
1011,HP:0100369,o
1012,HP:0010331,o
1013,HP:0010359,o
1014,HP:0010368,o
1015,HP:0012626,o
1016,HP:0012622,o
1017,HP:0000083,o
1018,HP:0040140,o
1019,HP:0002180,o
1020,HP:0007367,o
1021,HP:0010994,o
1022,HP:0410022,f
1023,HP:0008589,o
1024,HP:0001783,o
1025,HP:0033228,o
1026,HP:0012046,o
1027,HP:0001284,o
1028,HP:0001315,o
1029,HP:0012500,o
1030,HP:0200034,o
1031,HP:0011386,o
1032,HP:0011384,o
1033,HP:0011390,o
1034,HP:0000359,o
1035,HP:0031776,o
1036,HP:0025589,o
1037,HP:0000486,o
1038,HP:0000549,o
1039,HP:0032012,o
1040,HP:0033765,o
1041,HP:0033763,o
1042,HP:0010695,o
1043,HP:0010920,o
1044,HP:0000518,o
1045,HP:0011506,o
1046,HP:0025568,o
1047,HP:0000610,o
1048,HP:0100646,o
1049,HP:0011772,o
1050,HP:0000820,o
1051,HP:0012649,o
1052,HP:0012647,o
1053,HP:0009618,o
1054,HP:0007623,o
1055,HP:0001000,o
1056,HP:0004961,o
1057,HP:0030966,o
1058,HP:0004414,o
1059,HP:0004930,o
1060,HP:0009134,o
1061,HP:0009139,o
1062,HP:0002797,o
1063,HP:0100505,o
1064,HP:0004340,o
1065,HP:0100508,o
1066,HP:0003124,o
1067,HP:0003107,o
1068,HP:0003119,o
1069,HP:0003570,o
1070,HP:0009521,o
1071,HP:0009496,o
1072,HP:0006263,o
1073,HP:0004100,o
1074,HP:0009500,o
1075,HP:0009543,o
1076,HP:0009541,o
1077,HP:0010265,o
1078,HP:0032977,o
1079,HP:0032974,o
1080,HP:0032973,o
